,Orden,Expediente,Caratula,Fecha,Proceso
7722,42,1993/18,Z.................... S/DIVORCIO,15-09-2022,DIVORCIO
7723,43,261/19,Z.................... S/IMPUGNACION FILIACION MATRIMONIAL,15-09-2022,IMPUGNACION FILIACION MATRIMONIAL
7724,1,549/19,A.................... S/EJECUCION DE HONORARIOS,19-09-2022,EJECUCION DE HONORARIOS
7725,2,169/22-C,A.................... S/MEDIDA CAUTELAR,19-09-2022,MEDIDA CAUTELAR
7726,3,11/22-S,A.................... S/PROTECCION INTEGRAL,19-09-2022,PROTECCION INTEGRAL
7727,4,715/22-S,A.................... S/VIOLENCIA FAMILIAR,19-09-2022,VIOLENCIA FAMILIAR
7728,5,895/19,A.................... S/VIOLENCIA FAMILIAR,19-09-2022,VIOLENCIA FAMILIAR
7729,6,640/13,B.................... S/ALIMENTOS,19-09-2022,ALIMENTOS
7730,7,49/22-C,B.................... S/INCIDENTE,19-09-2022,INCIDENTE
7731,8,1476/19,B.................... S/INCIDENTE DE LEVANTAMIENTO DE,19-09-2022,INCIDENTE DE LEVANTAMIENTO DE
7732,9,863/22-S,B.................... S/VIOLENCIA DE GENERO,19-09-2022,VIOLENCIA DE GENERO
7733,10,236/17,B.................... S/VIOLENCIA FAMILIAR,19-09-2022,VIOLENCIA FAMILIAR
7734,11,389/22-C,C.................... S/ALIMENTOS,19-09-2022,ALIMENTOS
7735,12,802/22-C,C.................... S/HOMOLOGACION DE CONVENIO,19-09-2022,HOMOLOGACION DE CONVENIO
7736,13,801/22-C,C.................... S/INFORMACION SUMARIA,19-09-2022,INFORMACION SUMARIA
7737,14,869/22-S,C.................... S/VIOLENCIA DE GENERO,19-09-2022,VIOLENCIA DE GENERO
7738,15,879/22-S,C.................... S/VIOLENCIA DE GENERO,19-09-2022,VIOLENCIA DE GENERO
7739,16,421/22-S,C.................... S/VIOLENCIA FAMILIAR,19-09-2022,VIOLENCIA FAMILIAR
7740,17,433/20,C.................... S/VIOLENCIA FAMILIAR,19-09-2022,VIOLENCIA FAMILIAR
7741,18,724/22-S,C.................... S/VIOLENCIA FAMILIAR,19-09-2022,VIOLENCIA FAMILIAR
7742,19,141/21-C,D.................... S/EJECUCION DE HONORARIOS,19-09-2022,EJECUCION DE HONORARIOS
7743,20,250/21-C,D.................... S/EJECUCION DE HONORARIOS,19-09-2022,EJECUCION DE HONORARIOS
7744,21,986/20,D.................... S/EJECUCION DE HONORARIOS,19-09-2022,EJECUCION DE HONORARIOS
7745,22,846/18,D.................... S/EJECUCION DE SENTENCIA,19-09-2022,EJECUCION DE SENTENCIA
7746,23,153/22-C,D.................... S/INCIDENTE,19-09-2022,INCIDENTE
7747,24,115/22-OF,D.................... S/OFICIO,19-09-2022,OFICIO
7748,25,116/22-OF,D.................... S/OFICIO,19-09-2022,OFICIO
7749,26,156/22-S,D.................... S/PRESENTACION,19-09-2022,PRESENTACION
7750,27,730/22-S,D.................... S/PRESENTACION,19-09-2022,PRESENTACION
7751,28,795/22-C,D.................... S/PRESENTACION,19-09-2022,PRESENTACION
7752,29,874/22-S,D.................... S/VIOLENCIA DE GENERO,19-09-2022,VIOLENCIA DE GENERO
7753,30,1197/19,E.................... S/RESTRICCION DE LA CAPACIDAD,19-09-2022,RESTRICCION DE LA CAPACIDAD
7754,31,167/19,E.................... S/VIOLENCIA DE GENERO,19-09-2022,VIOLENCIA DE GENERO
7755,32,877/22-S,F.................... S/VIOLENCIA DE GENERO,19-09-2022,VIOLENCIA DE GENERO
7756,33,539/98,G.................... S/.DIVORCIO VINCULAR POR MUTUO,19-09-2022,.DIVORCIO VINCULAR POR MUTUO
7757,34,1868/19,G.................... S/DIVORCIO,19-09-2022,DIVORCIO
7758,35,393/22-C,G.................... S/HOMOLOGACION DE CONVENIO,19-09-2022,HOMOLOGACION DE CONVENIO
7759,36,763/20,G.................... S/INCIDENTE,19-09-2022,INCIDENTE
7760,37,572/22-C,G.................... S/MEDIDA CAUTELAR,19-09-2022,MEDIDA CAUTELAR
7761,38,836/22-S,G.................... S/PRESENTACION,19-09-2022,PRESENTACION
7762,39,861/22-S,G.................... S/PROTECCION INTEGRAL,19-09-2022,PROTECCION INTEGRAL
7763,40,626/22-S,G.................... S/VIOLENCIA DE GENERO,19-09-2022,VIOLENCIA DE GENERO
7764,41,873/22-S,G.................... S/VIOLENCIA DE GENERO,19-09-2022,VIOLENCIA DE GENERO
7765,42,136/22-S,J.................... S/ELEVA ACTUACIONES,19-09-2022,ELEVA ACTUACIONES
7766,43,603/22-S,J.................... S/ELEVA ACTUACIONES,19-09-2022,ELEVA ACTUACIONES
7767,44,835/22-S,J.................... S/ELEVA ACTUACIONES,19-09-2022,ELEVA ACTUACIONES
7768,45,857/22-S,J.................... S/ELEVA ACTUACIONES,19-09-2022,ELEVA ACTUACIONES
7769,46,1744/19,L.................... S/ALIMENTOS,19-09-2022,ALIMENTOS
7770,47,865/22-S,L.................... S/VIOLENCIA DE GENERO,19-09-2022,VIOLENCIA DE GENERO
7771,48,866/22-S,L.................... S/VIOLENCIA FAMILIAR,19-09-2022,VIOLENCIA FAMILIAR
7772,49,287/20,M.................... S/HOMOLOGACION DE CONVENIO,19-09-2022,HOMOLOGACION DE CONVENIO
7773,50,221/22-C,M.................... S/INCIDENTE,19-09-2022,INCIDENTE
7774,51,307/22-C,M.................... S/MEDIDA CAUTELAR,19-09-2022,MEDIDA CAUTELAR
7775,52,1329/19,M.................... S/NULIDAD DE RECONOCIMIENTO DE,19-09-2022,NULIDAD DE RECONOCIMIENTO DE
7776,53,203/20,M.................... S/PROTECCION INTEGRAL,19-09-2022,PROTECCION INTEGRAL
7777,54,438/20,M.................... S/PROTECCION INTEGRAL,19-09-2022,PROTECCION INTEGRAL
7778,55,565/22-S,M.................... S/VIOLENCIA DE GENERO,19-09-2022,VIOLENCIA DE GENERO
7779,56,870/22-S,M.................... S/VIOLENCIA FAMILIAR,19-09-2022,VIOLENCIA FAMILIAR
7780,57,596/22-S,O.................... S/VIOLENCIA FAMILIAR,19-09-2022,VIOLENCIA FAMILIAR
7781,58,357/22-C,P.................... S/DIVORCIO,19-09-2022,DIVORCIO
7782,59,480/15,P.................... S/VIOLENCIA FAMILIAR (DENUNCIAS-,19-09-2022,VIOLENCIA FAMILIAR (DENUNCIAS-
7783,60,142/21-C,R.................... S/BENEFICIO DE LITIGAR SIN GASTOS,19-09-2022,BENEFICIO DE LITIGAR SIN GASTOS
7784,61,811/22-C,R.................... S/DAÑO MORAL,19-09-2022,DAÑO MORAL
7785,62,657/11-JC,R.................... S/DIVORCIO VINCULAR,19-09-2022,DIVORCIO VINCULAR
7786,63,871/22-C,R.................... S/HOMOLOGACION DE CONVENIO,19-09-2022,HOMOLOGACION DE CONVENIO
7787,64,840/22-S,R.................... S/PROTECCION INTEGRAL,19-09-2022,PROTECCION INTEGRAL
7788,65,140/22-S,R.................... S/VIOLENCIA DE GENERO,19-09-2022,VIOLENCIA DE GENERO
7789,66,830/22-S,R.................... S/VIOLENCIA DE GENERO,19-09-2022,VIOLENCIA DE GENERO
7790,67,96/21-S,R.................... S/VIOLENCIA DE GENERO,19-09-2022,VIOLENCIA DE GENERO
7791,68,1288/18,R.................... S/VIOLENCIA FAMILIAR,19-09-2022,VIOLENCIA FAMILIAR
7792,69,155/20,R.................... S/VIOLENCIA FAMILIAR,19-09-2022,VIOLENCIA FAMILIAR
7793,70,595/20,R.................... S/VIOLENCIA FAMILIAR,19-09-2022,VIOLENCIA FAMILIAR
7794,71,935/18,R.................... S/VIOLENCIA FAMILIAR (DENUNCIA,19-09-2022,VIOLENCIA FAMILIAR (DENUNCIA
7795,72,856/22-C,S.................... S/FILIACION Y DAÑO MORAL,19-09-2022,FILIACION Y DAÑO MORAL
7796,73,27/22-S,S.................... S/VIOLENCIA DE GENERO,19-09-2022,VIOLENCIA DE GENERO
7797,74,563/22-S,S.................... S/VIOLENCIA DE GENERO,19-09-2022,VIOLENCIA DE GENERO
7798,75,219/21-S,S.................... S/VIOLENCIA FAMILIAR,19-09-2022,VIOLENCIA FAMILIAR
7799,76,246/22-S,S.................... S/VIOLENCIA FAMILIAR,19-09-2022,VIOLENCIA FAMILIAR
7800,77,69/17,S.................... S/VIOLENCIA FAMILIAR (ART.61 COD. DE,19-09-2022,VIOLENCIA FAMILIAR (ART.61 COD. DE
7801,78,1001/18,S.................... S/VIOLENCIA FAMILIAR (DENUNCIA,19-09-2022,VIOLENCIA FAMILIAR (DENUNCIA
7802,79,762/17,S.................... S/VIOLENCIA FAMILIAR (DENUNCIA,19-09-2022,VIOLENCIA FAMILIAR (DENUNCIA
7803,80,1654/19,T.................... S/ALIMENTOS,19-09-2022,ALIMENTOS
7804,81,415/22-C,T.................... S/LIQUIDACION SOCIEDAD CONYUGAL,19-09-2022,LIQUIDACION SOCIEDAD CONYUGAL
7805,82,512/22-S,T.................... S/PROTECCION INTEGRAL,19-09-2022,PROTECCION INTEGRAL
7806,83,1757/19,V.................... S/DIVORCIO,19-09-2022,DIVORCIO
7807,84,751/18,V.................... S/DIVORCIO,19-09-2022,DIVORCIO
7808,85,818/22-S,W.................... S/CONTROL DE LEGALIDAD,19-09-2022,CONTROL DE LEGALIDAD
7809,86,578/18,X.................... S/DIVORCIO,19-09-2022,DIVORCIO
7810,87,279/18,Y.................... S/VIOLENCIA FAMILIAR (DENUNCIA,19-09-2022,VIOLENCIA FAMILIAR (DENUNCIA
7811,88,867/22-S,Z.................... S/PRESENTACION,19-09-2022,PRESENTACION
7812,89,691/22-S,Z.................... S/PROTECCION INTEGRAL,19-09-2022,PROTECCION INTEGRAL
7813,1,883/22-S,A.................... S/PRESENTACION,20-09-2022,PRESENTACION
7814,2,390/22-S,A.................... S/PROTECCION DE PERSONA,20-09-2022,PROTECCION DE PERSONA
7815,3,875/22-S,A.................... S/PROTECCION INTEGRAL,20-09-2022,PROTECCION INTEGRAL
7816,4,759/22-C,A.................... S/TUTELA,20-09-2022,TUTELA
7817,5,876/22-S,A.................... S/VIOLENCIA DE GENERO,20-09-2022,VIOLENCIA DE GENERO
7818,6,1755/19,A.................... S/VIOLENCIA FAMILIAR,20-09-2022,VIOLENCIA FAMILIAR
7819,7,1488/18,B.................... S/ALIMENTOS,20-09-2022,ALIMENTOS
7820,8,597/17,B.................... S/VIOLENCIA FAMILIAR (DENUNCIA,20-09-2022,VIOLENCIA FAMILIAR (DENUNCIA
7821,9,1867/19,C.................... S/ALIMENTOS,20-09-2022,ALIMENTOS
7822,10,378/19,C.................... S/ALIMENTOS,20-09-2022,ALIMENTOS
7823,11,1180/19,C.................... S/DERECHO Y DEBER DE COMUNICACION,20-09-2022,DERECHO Y DEBER DE COMUNICACION
7824,12,1852/19,C.................... S/FILIACION POST-MORTEM,20-09-2022,FILIACION POST-MORTEM
7825,13,1159/16,C.................... S/INCIDENTE,20-09-2022,INCIDENTE
7826,14,1008/18,C.................... S/PROTECCION INTEGRAL,20-09-2022,PROTECCION INTEGRAL
7827,15,880/22-S,C.................... S/PROTECCION INTEGRAL,20-09-2022,PROTECCION INTEGRAL
7828,16,809/22-S,C.................... S/VIOLENCIA DE GENERO,20-09-2022,VIOLENCIA DE GENERO
7829,17,429/19,C.................... S/VIOLENCIA FAMILIAR (DENUNCIA,20-09-2022,VIOLENCIA FAMILIAR (DENUNCIA
7830,18,471/22-C,D.................... S/EJECUCION DE HONORARIOS,20-09-2022,EJECUCION DE HONORARIOS
7831,19,478/22-C,D.................... S/EJECUCION DE HONORARIOS,20-09-2022,EJECUCION DE HONORARIOS
7832,20,94/21-C,D.................... S/EJECUCION DE HONORARIOS,20-09-2022,EJECUCION DE HONORARIOS
7833,21,878/22-S,D.................... S/ELEVA ACTUACIONES,20-09-2022,ELEVA ACTUACIONES
7834,22,223/22-C,D.................... S/INCIDENTE,20-09-2022,INCIDENTE
7835,23,269/06-JC,F.................... S/.FILIACION,20-09-2022,.FILIACION
7836,24,75/98,G.................... S/.DIVORCIO VINCULAR,20-09-2022,.DIVORCIO VINCULAR
7837,25,1428/19,G.................... S/DIVORCIO,20-09-2022,DIVORCIO
7838,26,493/22-C,G.................... S/DIVORCIO,20-09-2022,DIVORCIO
7839,27,281/21-C,G.................... S/LIQUIDACION SOCIEDAD CONYUGAL,20-09-2022,LIQUIDACION SOCIEDAD CONYUGAL
7840,28,1870/18,G.................... S/VIOLENCIA FAMILIAR,20-09-2022,VIOLENCIA FAMILIAR
7841,29,837/07-JC,I.................... S/.DIVORCIO VINCULAR,20-09-2022,.DIVORCIO VINCULAR
7842,30,441/22-C,I.................... S/EJECUCION DE SENTENCIA,20-09-2022,EJECUCION DE SENTENCIA
7843,31,884/22-S,J.................... S/ELEVA ACTUACIONES,20-09-2022,ELEVA ACTUACIONES
7844,32,886/22-S,J.................... S/ELEVA ACTUACIONES,20-09-2022,ELEVA ACTUACIONES
7845,33,1321/18,K.................... S/BENEFICIO DE LITIGAR SIN GASTOS,20-09-2022,BENEFICIO DE LITIGAR SIN GASTOS
7846,34,924/18,K.................... S/FILIACION,20-09-2022,FILIACION
7847,35,634/22-S,K.................... S/VIOLENCIA DE GENERO,20-09-2022,VIOLENCIA DE GENERO
7848,36,857/22-S,K.................... S/VIOLENCIA DE GENERO,20-09-2022,VIOLENCIA DE GENERO
7849,37,934/19,L.................... S/HOMOLOGACION DE CONVENIO,20-09-2022,HOMOLOGACION DE CONVENIO
7850,38,1603/19,L.................... S/NULIDAD DE RECONOCIMIENTO DE,20-09-2022,NULIDAD DE RECONOCIMIENTO DE
7851,39,882/22-S,L.................... S/VIOLENCIA DE GENERO,20-09-2022,VIOLENCIA DE GENERO
7852,40,403/19,M.................... S/ALIMENTOS,20-09-2022,ALIMENTOS
7853,41,569/22-C,M.................... S/INCIDENTE,20-09-2022,INCIDENTE
7854,42,611/22-C,M.................... S/INCIDENTE DE REMOCION DE CURADOR,20-09-2022,INCIDENTE DE REMOCION DE CURADOR
7855,43,595/22-C,M.................... S/INSCRIPCION DE DEFUNCION,20-09-2022,INSCRIPCION DE DEFUNCION
7856,44,650/22-C,M.................... S/MEDIDA CAUTELAR,20-09-2022,MEDIDA CAUTELAR
7857,45,891/22-S,M.................... S/PROTECCION INTEGRAL,20-09-2022,PROTECCION INTEGRAL
7858,46,402/17,M.................... S/RESTRICCION DE LA CAPACIDAD,20-09-2022,RESTRICCION DE LA CAPACIDAD
7859,47,342/20,M.................... S/TUTELA,20-09-2022,TUTELA
7860,48,442/22-S,M.................... S/VIOLENCIA DE GENERO,20-09-2022,VIOLENCIA DE GENERO
7861,49,868/22-S,M.................... S/VIOLENCIA DE GENERO,20-09-2022,VIOLENCIA DE GENERO
7862,50,881/22-S,M.................... S/VIOLENCIA DE GENERO,20-09-2022,VIOLENCIA DE GENERO
7863,51,300/21-S,M.................... S/VIOLENCIA FAMILIAR,20-09-2022,VIOLENCIA FAMILIAR
7864,52,872/22-S,M.................... S/VIOLENCIA FAMILIAR,20-09-2022,VIOLENCIA FAMILIAR
7865,53,12/12,N.................... S/DIVORCIO VINCULAR,20-09-2022,DIVORCIO VINCULAR
7866,54,888/20,O.................... S/DECLARACION DE ADOPTABILIDAD,20-09-2022,DECLARACION DE ADOPTABILIDAD
7867,55,607/19,O.................... S/MEDIDA CAUTELAR,20-09-2022,MEDIDA CAUTELAR
7868,56,687/13,P.................... S/EJECUCION DE SENTENCIA,20-09-2022,EJECUCION DE SENTENCIA
7869,57,427/22-S,P.................... S/VIOLENCIA DE GENERO,20-09-2022,VIOLENCIA DE GENERO
7870,58,516/22-C,R.................... S/DIVORCIO,20-09-2022,DIVORCIO
7871,59,678/22-S,R.................... S/PRESENTACION,20-09-2022,PRESENTACION
7872,60,472/16,S.................... S/INCIDENTE,20-09-2022,INCIDENTE
7873,61,846/22-S,U.................... S/REQUERIMIENTO ADMINISTRATIVO,20-09-2022,REQUERIMIENTO ADMINISTRATIVO
7874,62,185/21-S,V.................... S/PROTECCION INTEGRAL,20-09-2022,PROTECCION INTEGRAL
7875,63,370/19,Y.................... S/DECLARACION DE ADOPTABILIDAD,20-09-2022,DECLARACION DE ADOPTABILIDAD
7876,64,575/22-C,Z.................... S/INCIDENTE,20-09-2022,INCIDENTE
7877,1,1754/19,A.................... S/DIVORCIO,21-09-2022,DIVORCIO
7878,2,816/19,A.................... S/FILIACION Y DAÑO MORAL,21-09-2022,FILIACION Y DAÑO MORAL
7879,3,768/15,A.................... S/TUTELA,21-09-2022,TUTELA
7880,4,382/19,B.................... S/DIVORCIO,21-09-2022,DIVORCIO
7881,5,85/22-C,B.................... S/INCIDENTE,21-09-2022,INCIDENTE
7882,6,654/22-C,B.................... S/TUTELA,21-09-2022,TUTELA
7883,7,1571/19,C.................... S/TUTELA,21-09-2022,TUTELA
7884,8,1072/19,C.................... S/VIOLENCIA FAMILIAR (DENUNCIA,21-09-2022,VIOLENCIA FAMILIAR (DENUNCIA
7885,9,429/19,C.................... S/VIOLENCIA FAMILIAR (DENUNCIA,21-09-2022,VIOLENCIA FAMILIAR (DENUNCIA
7886,10,120/22-OF,D.................... S/OFICIO,21-09-2022,OFICIO
7887,11,874/22-S,D.................... S/VIOLENCIA DE GENERO,21-09-2022,VIOLENCIA DE GENERO
7888,12,252/18,D.................... S/VIOLENCIA FAMILIAR,21-09-2022,VIOLENCIA FAMILIAR
7889,13,411/17,D.................... S/VIOLENCIA FAMILIAR (DENUNCIA,21-09-2022,VIOLENCIA FAMILIAR (DENUNCIA
7890,14,791/17,F.................... S/DIVORCIO VINCULAR,21-09-2022,DIVORCIO VINCULAR
7891,15,215/22-C,F.................... S/HOMOLOGACION DE CONVENIO,21-09-2022,HOMOLOGACION DE CONVENIO
7892,16,339/20,F.................... S/HOMOLOGACION DE CONVENIO,21-09-2022,HOMOLOGACION DE CONVENIO
7893,17,274/20,G.................... S/ALIMENTOS,21-09-2022,ALIMENTOS
7894,18,566/14,G.................... S/DECLARACION DE INCAPACIDAD,21-09-2022,DECLARACION DE INCAPACIDAD
7895,19,524/22-C,G.................... S/DERECHO Y DEBER DE COMUNICACION,21-09-2022,DERECHO Y DEBER DE COMUNICACION
7896,20,1217/18,G.................... S/DIVORCIO,21-09-2022,DIVORCIO
7897,21,859/22-S,G.................... S/VIOLENCIA DE GENERO,21-09-2022,VIOLENCIA DE GENERO
7898,22,554/13,I.................... S/FILIACION,21-09-2022,FILIACION
7899,23,377/14,J.................... S/DECLARACION DE INCAPACIDAD,21-09-2022,DECLARACION DE INCAPACIDAD
7900,24,904/22-S,J.................... S/ELEVA ACTUACIONES,21-09-2022,ELEVA ACTUACIONES
7901,25,924/14,K.................... S/ALIMENTOS,21-09-2022,ALIMENTOS
7902,26,145/14,L.................... S/DETERMINACIÓN JUDICIAL DE LA,21-09-2022,DETERMINACIÓN JUDICIAL DE LA
7903,27,1609/18,L.................... S/DIVORCIO,21-09-2022,DIVORCIO
7904,28,173/16,L.................... S/INCIDENTE,21-09-2022,INCIDENTE
7905,29,865/22-S,L.................... S/VIOLENCIA DE GENERO,21-09-2022,VIOLENCIA DE GENERO
7906,30,1326/17,M.................... S/ALIMENTOS,21-09-2022,ALIMENTOS
7907,31,87/22-C,M.................... S/DIVORCIO,21-09-2022,DIVORCIO
7908,32,32/22-S,M.................... S/VIOLENCIA DE GENERO,21-09-2022,VIOLENCIA DE GENERO
7909,33,881/22-S,M.................... S/VIOLENCIA DE GENERO,21-09-2022,VIOLENCIA DE GENERO
7910,34,328/19,M.................... S/VIOLENCIA FAMILIAR,21-09-2022,VIOLENCIA FAMILIAR
7911,35,1970/18,O.................... S/DIVORCIO,21-09-2022,DIVORCIO
7912,36,351/21-C,O.................... S/INCIDENTE,21-09-2022,INCIDENTE
7913,37,199/21-C,Q.................... S/.IMPUGNACION DE PATERNIDAD -,21-09-2022,.IMPUGNACION DE PATERNIDAD -
7914,38,598/22-S,Q.................... S/VIOLENCIA FAMILIAR,21-09-2022,VIOLENCIA FAMILIAR
7915,39,260/12,R.................... S/DECLARACION DE INCAPACIDAD,21-09-2022,DECLARACION DE INCAPACIDAD
7916,40,174/21-C,R.................... S/EJECUCION DE ALIMENTOS,21-09-2022,EJECUCION DE ALIMENTOS
7917,41,02/22-S,R.................... S/VIOLENCIA DE GENERO,21-09-2022,VIOLENCIA DE GENERO
7918,42,217/11,R.................... S/VIOLENCIA FAMILIAR,21-09-2022,VIOLENCIA FAMILIAR
7919,43,816/22-C,S.................... S/CUIDADO PERSONAL,21-09-2022,CUIDADO PERSONAL
7920,44,1976/18,S.................... S/DIVORCIO,21-09-2022,DIVORCIO
7921,45,195/22-S,V.................... S/VIOLENCIA DE GENERO,21-09-2022,VIOLENCIA DE GENERO
7922,46,341/22-S,V.................... S/VIOLENCIA FAMILIAR,21-09-2022,VIOLENCIA FAMILIAR
7923,1,1112/16,A.................... S/DECLARACION DE INCAPACIDAD,22-09-2022,DECLARACION DE INCAPACIDAD
7924,2,483/22-C,A.................... S/HOMOLOGACION DE CONVENIO,22-09-2022,HOMOLOGACION DE CONVENIO
7925,3,490/22-C,A.................... S/MEDIDA CAUTELAR,22-09-2022,MEDIDA CAUTELAR
7926,4,377/20,B.................... S/VIOLENCIA DE GENERO,22-09-2022,VIOLENCIA DE GENERO
7927,5,863/22-S,B.................... S/VIOLENCIA DE GENERO,22-09-2022,VIOLENCIA DE GENERO
7928,6,758/22-S,C.................... S/ELEVA ACTUACIONES,22-09-2022,ELEVA ACTUACIONES
7929,7,653/22-C,C.................... S/INCIDENTE,22-09-2022,INCIDENTE
7930,8,392/22-S,C.................... S/VIOLENCIA DE GENERO,22-09-2022,VIOLENCIA DE GENERO
7931,9,809/22-S,C.................... S/VIOLENCIA DE GENERO,22-09-2022,VIOLENCIA DE GENERO
7932,10,259/21-C,D.................... S/ALIMENTOS,22-09-2022,ALIMENTOS
7933,11,212/21-C,D.................... S/EJECUCION DE HONORARIOS,22-09-2022,EJECUCION DE HONORARIOS
7934,12,303/21-C,D.................... S/EJECUCION DE HONORARIOS,22-09-2022,EJECUCION DE HONORARIOS
7935,13,578/22-C,D.................... S/EJECUCION DE HONORARIOS,22-09-2022,EJECUCION DE HONORARIOS
7936,14,74/21-C,D.................... S/EJECUCION DE HONORARIOS,22-09-2022,EJECUCION DE HONORARIOS
7937,15,1160/17,D.................... S/EJECUCION DE SENTENCIA,22-09-2022,EJECUCION DE SENTENCIA
7938,16,339/21-C,D.................... S/INCIDENTE,22-09-2022,INCIDENTE
7939,17,130/22-OF,D.................... S/OFICIO,22-09-2022,OFICIO
7940,18,979/18,E.................... S/ALIMENTOS,22-09-2022,ALIMENTOS
7941,19,286/15,E.................... S/DECLARACION DE INCAPACIDAD,22-09-2022,DECLARACION DE INCAPACIDAD
7942,20,315/21-C,F.................... S/ADOPCION PLENA,22-09-2022,ADOPCION PLENA
7943,21,639/16,F.................... S/INCIDENTE,22-09-2022,INCIDENTE
7944,22,254/17,G.................... S/INCIDENTE,22-09-2022,INCIDENTE
7945,23,913/22-S,G.................... S/VIOLENCIA DE GENERO,22-09-2022,VIOLENCIA DE GENERO
7946,24,908/22-S,H.................... S/PRESENTACION,22-09-2022,PRESENTACION
7947,25,885/22-S,J.................... S/ELEVA ACTUACIONES,22-09-2022,ELEVA ACTUACIONES
7948,26,903/22-S,J.................... S/ELEVA ACTUACIONES,22-09-2022,ELEVA ACTUACIONES
7949,27,857/22-S,K.................... S/VIOLENCIA DE GENERO,22-09-2022,VIOLENCIA DE GENERO
7950,28,383/22-C,L.................... S/ALIMENTOS,22-09-2022,ALIMENTOS
7951,29,246/21-C,L.................... S/INCIDENTE DE REMOCION DE CURADOR,22-09-2022,INCIDENTE DE REMOCION DE CURADOR
7952,30,420/22-S,L.................... S/VIOLENCIA DE GENERO,22-09-2022,VIOLENCIA DE GENERO
7953,31,275/18,L.................... S/VIOLENCIA FAMILIAR (DENUNCIA,22-09-2022,VIOLENCIA FAMILIAR (DENUNCIA
7954,32,304/21-C,M.................... S/CUIDADO PERSONAL,22-09-2022,CUIDADO PERSONAL
7955,33,438/16,M.................... S/INCIDENTE,22-09-2022,INCIDENTE
7956,34,350/20,O.................... S/VIOLENCIA DE GENERO,22-09-2022,VIOLENCIA DE GENERO
7957,35,391/22-S,P.................... S/VIOLENCIA FAMILIAR,22-09-2022,VIOLENCIA FAMILIAR
7958,36,152/22-C,Q.................... S/INCIDENTE,22-09-2022,INCIDENTE
7959,37,371/21-C,R.................... S/ALIMENTOS,22-09-2022,ALIMENTOS
7960,38,457/22-C,R.................... S/DIVORCIO,22-09-2022,DIVORCIO
7961,39,325/22-C,R.................... S/INCIDENTE DE CESACION DE CUOTA,22-09-2022,INCIDENTE DE CESACION DE CUOTA
7962,40,129/22-OF,R.................... S/OFICIO,22-09-2022,OFICIO
7963,41,951/19,S.................... S/BENEFICIO DE LITIGAR SIN GASTOS,22-09-2022,BENEFICIO DE LITIGAR SIN GASTOS
7964,42,615/22-C,S.................... S/CUIDADO PERSONAL,22-09-2022,CUIDADO PERSONAL
7965,43,244/17,S.................... S/DIVORCIO VINCULAR,22-09-2022,DIVORCIO VINCULAR
7966,44,498/12,S.................... S/GUARDA JUDICIAL,22-09-2022,GUARDA JUDICIAL
7967,45,763/22-C,S.................... S/HOMOLOGACION DE CONVENIO,22-09-2022,HOMOLOGACION DE CONVENIO
7968,46,511/22-C,S.................... S/MEDIDA CAUTELAR,22-09-2022,MEDIDA CAUTELAR
7969,47,675/22-S,S.................... S/VIOLENCIA DE GENERO,22-09-2022,VIOLENCIA DE GENERO
7970,48,906/22-S,S.................... S/VIOLENCIA DE GENERO,22-09-2022,VIOLENCIA DE GENERO
7971,49,29/11-JC,T.................... S/EJECUCION DE SENTENCIA,22-09-2022,EJECUCION DE SENTENCIA
7972,50,867/22-S,Z.................... S/PRESENTACION,22-09-2022,PRESENTACION
7973,1,768/07-JC,A.................... S/.JUICIO DE INCAPACIDAD,23-09-2022,.JUICIO DE INCAPACIDAD
7974,2,525/22-C,A.................... S/TUTELA,23-09-2022,TUTELA
7975,3,876/22-S,A.................... S/VIOLENCIA DE GENERO,23-09-2022,VIOLENCIA DE GENERO
7976,4,590/22-C,B.................... S/ALIMENTOS,23-09-2022,ALIMENTOS
7977,5,146/22-C,B.................... S/HOMOLOGACION DE CONVENIO,23-09-2022,HOMOLOGACION DE CONVENIO
7978,6,889/22-C,B.................... S/HOMOLOGACION DE CONVENIO,23-09-2022,HOMOLOGACION DE CONVENIO
7979,7,1476/19,B.................... S/INCIDENTE DE LEVANTAMIENTO DE,23-09-2022,INCIDENTE DE LEVANTAMIENTO DE
7980,8,888/22-C,B.................... S/INFORMACION SUMARIA,23-09-2022,INFORMACION SUMARIA
7981,9,892/22-C,B.................... S/INFORMACION SUMARIA,23-09-2022,INFORMACION SUMARIA
7982,10,744/22-S,C.................... S/PROTECCION INTEGRAL,23-09-2022,PROTECCION INTEGRAL
7983,11,905/22-S,C.................... S/PROTECCION INTEGRAL,23-09-2022,PROTECCION INTEGRAL
7984,12,414/22-C,C.................... S/TUTELA,23-09-2022,TUTELA
7985,13,1242/15,C.................... S/VIOLENCIA FAMILIAR (DENUNCIAS-,23-09-2022,VIOLENCIA FAMILIAR (DENUNCIAS-
7986,14,621/18,D.................... S/DIVORCIO,23-09-2022,DIVORCIO
7987,15,308/22-C,D.................... S/EJECUCION DE HONORARIOS,23-09-2022,EJECUCION DE HONORARIOS
7988,16,997/19,D.................... S/EJECUCION DE HONORARIOS,23-09-2022,EJECUCION DE HONORARIOS
7989,17,121/22-OF,D.................... S/OFICIO,23-09-2022,OFICIO
7990,18,122/22-OF,D.................... S/OFICIO,23-09-2022,OFICIO
7991,19,125/22-OF,D.................... S/OFICIO,23-09-2022,OFICIO
